BUSINESS NAME,ADDRESS,SUBURB,STATE,POSTCODE,PHONE,FAX,EMAIL,WEBSITE,BUSINESS CATEGORY;,Column1,_1,_2
A1 Classic Car Rentals,,WEETANGERA,ACT,2614,262546000,,a1cars@bigpond.com,www.a1classiccars.com.au,Wedding - Car Hire;,,,
A1 Classic Car Rentals,,WEETANGERA,ACT,2614,410565261,,a1cars@bigpond.com,www.a1classiccars.com.au,Wedding - Car Hire;,,,
A2D Attention-To-Detail Cleaning,97 De Little Cct,GREENWAY,ACT,2900,262557962,262419735,a2d.a1@bigpond.net.au,www.a2dcleaning.com.au,Window - Cleaners & Cleaning;,,,
A2D Attention-To-Detail Cleaning,3 Gangele St,NGUNNAWAL,ACT,2913,262557962,262419735,a2d.a1@bigpond.net.au,www.a2dcleaning.com.au,Cleaning Services - Domestic ;,,,
A Aa Auto Rentals,5 Barrier St,FYSHWICK,ACT,2609,262868777,,aaa.auto@netspeed.com.au,,Car or Mini-Bus Hire;,,,
Aranda Afters Association Inc,Banambila St,ARANDA,ACT,2614,262055985,,aaa.inc@bigpond.com,,Child Care - Learning Centres & Creches;,,,
Aranda Afters Association Inc,Banambila St,ARANDA,ACT,2614,262055985,,aaa.inc@bigpond.com,,Kindergartens;,,,
Tang Soo Tao,Gpo Box 73,CANBERRA,ACT,2601,262921618,,aaholland@internode.on.net,www.tangsootao.com.au,Fitness Centres & Trainers;,,,
Tang Soo Tao,Gpo Box 73,CANBERRA,ACT,2601,411245082,,aaholland@internode.on.net,www.tangsootao.com.au,Fitness Centres & Trainers;,,,
Tang Soo Tao,Gpo Box 73,CANBERRA,ACT,2601,262921618,,aaholland@internode.on.net,www.tangsootao.com.au,Martial Arts & Self Defence Schools & Supplies;,,,
A & A Contractors Pty Ltd,6/60 Sheppard St,HUME,ACT,2620,262601611,262601614,aandacon@bigpond.net.au,www.aandacontractors.com,Building Contractors - Repairs & Maintenance;,,,
A & A Contractors Pty Ltd,6/60 Sheppard St,HUME,ACT,2620,262601611,262601614,aandacon@bigpond.net.au,www.aandacontractors.com,Painting & Decorating Services;,,,
A & A Contractors Pty Ltd,Po Box 462,ERINDALE CENTRE,ACT,2903,262601611,262601614,aandacon@bigpond.net.au,www.aandacontractors.com,Building Contractors - Repairs & Maintenance;,,,
Aj Griffin Painting,6/50 Cleland St,LATHAM,ACT,2615,262544992,262544995,aaron.griffin@bigpond.com,,Painting & Decorating Services;,,,
Aj Griffin Painting,6/50 Cleland St,LATHAM,ACT,2615,416258849,262544995,aaron.griffin@bigpond.com,,Painting & Decorating Services;,,,
Overdrive Developments,61 Hemmings Cres,RICHARDSON,ACT,2905,419255484,,aaron@overdrivedevelopments.com,www.overdrivedevelopments.com,Graphic Design & Illustration;,,,
Overdrive Developments,61 Hemmings Cres,RICHARDSON,ACT,2905,419255484,,aaron@overdrivedevelopments.com,www.overdrivedevelopments.com,Internet Web Services;,,,
Aarwun Gallery,Federation Square 11 Gold Ck,NGUNNAWAL,ACT,2913,262302055,,aarwuncanberra@bigpond.com,www.aarwungallery.com,Art Galleries & Services;,,,
A & A Smash Repairs,20 Kembla St,FYSHWICK,ACT,2609,262806106,262806877,aasmashrepairs@bigpond.com.au,www.aasmashrepairs.com.au,Panel Beaters & Automotive Painting;,,,
A & A Smash Repairs,Po Box 295,FYSHWICK,ACT,2609,262806106,262806877,aasmashrepairs@bigpond.com.au,www.aasmashrepairs.com.au,Panel Beaters & Automotive Painting;,,,
A & A Smash Repairs,20 Kembla St,FYSHWICK,ACT,2609,262806106,262806877,aasmashrepairs@bigpond.com.au,www.aasmashrepairs.com.au,Spray Painting - Products & Services;,,,
Australian Building Codes Board,Gpo Box 9839,CANBERRA,ACT,2601,262137132,,abcbwebmaster@abcb.gov.au,,Building Contractors - Renovations Alterations & Extensions;,,,
Australian Building Codes Board,Gpo Box 9839,CANBERRA,ACT,2601,1300134631,,abcbwebmaster@abcb.gov.au,,Building Contractors - Renovations Alterations & Extensions;,,,
Australian Building Codes Board,Gpo Box 9839,CANBERRA,ACT,2601,262137132,,abcbwebmaster@abcb.gov.au,,Building Display & Information Centres;,,,
Australian Building Codes Board,Level 3 33 Allara St,CANBERRA,ACT,2601,262137191,262137287,abcbwebmaster@abcb.gov.au,,Building Display & Information Centres;,,,
Australian Building Codes Board,Gpo Box 9839,CANBERRA,ACT,2601,1300134631,,abcbwebmaster@abcb.gov.au,,Building Display & Information Centres;,,,
Australian Building Codes Board,Level 3 33 Allara St,CANBERRA,ACT,2601,1300134631,262137287,abcbwebmaster@abcb.gov.au,,Building Display & Information Centres;,,,
Barac K & Z,40 Ngunawal Dr,ISAACS,ACT,2607,262866928,262866815,abclandscaping@bigpond.com,www.abclandscaping.com.au,Landscape Design & Consultants;,,,
Barac K & Z,40 Ngunawal Dr,ISAACS,ACT,2607,262866928,262866815,abclandscaping@bigpond.com,www.abclandscaping.com.au,Retaining Walls;,,,
Bob Walkers Carpets,24 Walder St,BELCONNEN,ACT,2616,262511266,262511639,abedare@netspeed.com.au,www.bobwalkerscarpets.com.au,Carpet - Tiles & Carpet Retail;,,,
Bob Walkers Carpets,24 Walder St,BELCONNEN,ACT,2616,262511266,262511639,abedare@netspeed.com.au,www.bobwalkerscarpets.com.au,Rugs - Importers & Retail;,,,
Abedare Pty Ltd,24 Walder St,BELCONNEN,ACT,2617,262511266,262511639,abedare@netspeed.com.au,www.bobwalkerscarpets.com.au,Carpet - Tiles & Carpet Retail;,,,
Act Board Cutting Services Pty Ltd,Unit 1B 15 Sheppard St,HUME,ACT,2620,262601339,,abisjoinery@bigpond.com.au,,Joinery Services;,,,
Abis Joinery Pty Ltd,Unit 1B 15 Sheppard St,HUME,ACT,2620,262601339,262601423,abisjoinery@bigpond.com.au,,Joinery Services;,,,
Act Board Cutting Services Pty Ltd,Unit 1B 15 Sheppard St,HUME,ACT,2620,262601339,,abisjoinery@bigpond.com.au,,Kitchens Renovations & Equipment- New;,,,
Abis Joinery Pty Ltd,Unit 1B 15 Sheppard St,HUME,ACT,2620,262601339,262601423,abisjoinery@bigpond.com.au,,Shop & Office Fitting Design & Fit-outs;,,,
A Blast From The Past Amusements Pty Ltd,,HIGGINS,ACT,2615,262542539,,ablast@start.com.au,,Amusement Equipment Sales & Service;,,,
A Blast From The Past Amusements Pty Ltd,,HIGGINS,ACT,2615,408767712,,ablast@start.com.au,,Amusement Equipment Sales & Service;,,,
A Blast From The Past Amusements Pty Ltd,,HIGGINS,ACT,2615,262542539,,ablast@start.com.au,,Party Equipment Hire;,,,
A Blast From The Past Amusements Pty Ltd,,HIGGINS,ACT,2615,408767712,,ablast@start.com.au,,Party Equipment Hire;,,,
